Date,Open,High,Low,Close,Adj Close,Volume
2021-11-10,910.000000,963.200012,907.799988,959.200012,959.200012,2278769
2021-11-11,959.200012,997.599976,956.200012,984.599976,984.599976,1383941
2021-11-12,989.000000,993.234009,959.599976,971.599976,971.599976,818372
2021-11-15,973.200012,983.599976,961.799988,961.799988,961.799988,566691
2021-11-16,961.400024,977.599976,952.982971,969.200012,969.200012,889141
2021-11-17,979.200012,986.799988,965.799988,986.799988,986.799988,1294770
2021-11-18,986.799988,989.400024,945.400024,951.799988,951.799988,845454
2021-11-19,960.000000,966.200012,946.000000,952.799988,952.799988,779423
2021-11-22,948.799988,959.400024,932.599976,946.000000,946.000000,842922
2021-11-23,940.400024,950.400024,925.400024,927.799988,927.799988,654782
2021-11-24,928.000000,941.000000,892.599976,901.400024,901.400024,784964
2021-11-25,908.200012,918.836975,902.000000,911.799988,911.799988,428223
2021-11-26,899.000000,927.221985,895.400024,906.799988,906.799988,720022
2021-11-29,905.200012,933.599976,896.599976,914.400024,914.400024,932638
2021-11-30,912.400024,928.000000,903.799988,908.000000,908.000000,959126
2021-12-01,916.599976,920.200012,906.200012,907.000000,907.000000,594576
2021-12-02,896.599976,906.599976,868.000000,892.400024,892.400024,805015
2021-12-03,884.599976,899.564026,879.400024,883.400024,883.400024,638379
2021-12-06,892.400024,898.000000,883.200012,888.000000,888.000000,294210
2021-12-07,898.200012,898.400024,879.599976,888.200012,888.200012,556014
2021-12-08,884.200012,898.599976,877.799988,880.200012,880.200012,567643
2021-12-09,892.200012,892.599976,871.200012,874.200012,874.200012,1196539
2021-12-10,884.000000,884.000000,853.799988,861.200012,861.200012,562034
2021-12-13,861.799988,891.599976,860.400024,881.400024,881.400024,689343
2021-12-14,882.000000,891.599976,860.200012,866.400024,866.400024,617390
2021-12-15,863.599976,874.200012,861.400024,870.200012,870.200012,677419
2021-12-16,877.000000,893.799988,873.599976,890.599976,890.599976,987927
2021-12-17,901.400024,923.510010,896.799988,914.799988,914.799988,1848875
2021-12-20,901.400024,915.359985,879.799988,885.599976,885.599976,798992
2021-12-21,893.200012,905.200012,877.166016,882.799988,882.799988,538428
2021-12-22,892.799988,893.400024,861.200012,877.799988,877.799988,930840
2021-12-23,883.799988,894.799988,879.200012,887.400024,887.400024,850053
2021-12-24,889.400024,899.200012,882.599976,893.000000,893.000000,295055
2021-12-29,875.599976,901.799988,871.000000,872.000000,872.000000,763341
2021-12-30,867.799988,888.799988,857.799988,877.799988,877.799988,1116208
2021-12-31,871.799988,895.059021,871.799988,892.799988,892.799988,215840
2022-01-04,888.200012,890.000000,852.599976,852.599976,852.599976,1324812
2022-01-05,851.000000,862.380005,843.200012,855.599976,855.599976,862680
2022-01-06,845.000000,845.400024,820.223999,820.599976,820.599976,1083825
2022-01-07,817.400024,827.200012,805.000000,819.799988,819.799988,831090
2022-01-10,826.000000,828.200012,797.901978,803.799988,803.799988,755653
2022-01-11,816.799988,828.400024,810.523010,824.599976,824.599976,839380
2022-01-12,830.000000,841.799988,825.400024,836.599976,836.599976,639276
2022-01-13,839.000000,852.200012,834.854980,837.400024,837.400024,593611
2022-01-14,841.000000,847.599976,807.599976,807.599976,807.599976,509520
2022-01-17,810.599976,813.057007,801.000000,804.200012,804.200012,742076
2022-01-18,801.200012,804.400024,786.400024,800.000000,800.000000,1155069
2022-01-19,793.400024,842.400024,790.200012,839.200012,839.200012,1752308
2022-01-20,850.000000,867.799988,845.393005,861.599976,861.599976,1077573
2022-01-21,872.200012,872.200012,825.400024,830.400024,830.400024,1078659
2022-01-24,830.799988,833.200012,796.799988,799.400024,799.400024,859729
2022-01-25,810.000000,818.229980,795.400024,805.000000,805.000000,703713
2022-01-26,759.000000,759.000000,684.000000,687.799988,687.799988,5660589
2022-01-27,667.599976,667.599976,630.400024,636.400024,636.400024,3271428
2022-01-28,636.000000,642.396973,614.799988,631.799988,631.799988,2464785
2022-01-31,634.599976,637.400024,612.599976,624.799988,624.799988,1671151
2022-02-01,631.200012,659.000000,628.400024,649.599976,649.599976,1412856
2022-02-02,651.599976,658.400024,636.799988,636.799988,636.799988,1119033
2022-02-03,637.000000,638.883972,616.400024,623.200012,623.200012,1221694
2022-02-04,621.400024,636.200012,619.044006,624.400024,624.400024,1231018
2022-02-07,627.599976,632.080017,612.599976,626.000000,626.000000,1503079
2022-02-08,625.599976,640.200012,619.789978,628.799988,628.799988,1055357
2022-02-09,632.799988,644.000000,623.200012,636.000000,636.000000,1241691
2022-02-10,637.200012,640.400024,621.799988,631.599976,631.599976,1657005
2022-02-11,617.000000,626.599976,610.599976,622.400024,622.400024,1746486
2022-02-14,626.599976,669.599976,616.000000,665.799988,665.799988,2537494
2022-02-15,665.599976,674.189026,639.000000,642.799988,642.799988,1875230
2022-02-16,642.599976,669.406982,640.000000,666.400024,666.400024,1027103
2022-02-17,668.000000,696.000000,668.000000,695.000000,695.000000,1840025
2022-02-18,695.000000,696.799988,680.799988,685.799988,685.799988,1386581
2022-02-21,686.000000,697.200012,678.869995,696.799988,696.799988,1355010
2022-02-22,691.599976,702.200012,664.799988,680.599976,680.599976,1422210
2022-02-23,679.200012,692.000000,664.200012,688.200012,688.200012,1234036
2022-02-24,718.000000,763.000000,696.799988,715.799988,715.799988,4721660
2022-02-25,715.799988,736.197021,702.799988,713.599976,713.599976,1749934
2022-02-28,722.000000,735.599976,709.200012,718.599976,718.599976,1819878
2022-03-01,721.400024,724.799988,694.007019,724.799988,724.799988,1892544
2022-03-02,735.200012,755.599976,698.400024,702.799988,702.799988,2362696
2022-03-03,710.000000,718.000000,680.799988,683.200012,683.200012,1930624
2022-03-04,693.599976,745.200012,691.000000,742.000000,742.000000,2509379
2022-03-07,754.599976,783.666016,735.400024,739.400024,739.400024,2565221
2022-03-08,794.000000,816.400024,755.599976,808.400024,808.400024,2613543
2022-03-09,807.000000,820.000000,748.000000,749.599976,749.599976,2826975
2022-03-10,745.000000,774.599976,732.622009,766.200012,766.200012,3188355
2022-03-11,755.400024,766.700012,722.599976,730.200012,730.200012,1281314
2022-03-14,720.000000,735.017029,703.000000,721.599976,721.599976,1468121
2022-03-15,709.200012,712.400024,677.599976,700.599976,700.599976,1193145
2022-03-16,706.799988,708.799988,689.799988,701.200012,701.200012,1048487
2022-03-17,714.000000,731.200012,699.200012,730.799988,730.799988,1390576
2022-03-18,726.400024,746.000000,726.000000,737.000000,737.000000,1158328
2022-03-21,745.000000,749.799988,727.599976,748.000000,748.000000,673581
2022-03-22,750.000000,751.000000,719.000000,719.000000,719.000000,526362
2022-03-23,715.599976,733.000000,713.778015,726.000000,726.000000,746564
2022-03-24,729.200012,774.200012,727.315979,767.599976,767.599976,1267842
2022-03-25,764.400024,772.599976,745.000000,746.000000,746.000000,479961
